Date,Year,Direction,Day,Dist,ElapsedTime,ElapsedNum,AvgPace,AvgPaceNum,AvgSpeed,TotalAscent,TotalDescent,MinTemp,MaxTemp,Calories,AvgHR,Sleep,SleepNum
2023-09-13 4:12:07,2023,SoBo,43,54.13,17:27:47,17.463056,19:21,19.350000,3.09,13344,16511,63,88,5678,111,5:02:13,5.03694
2023-09-12 4:22:14,2023,SoBo,42,48.96,16:01:54,16.031667,19:39,19.650000,3.05,13545,10680,64,79,5431,118,6:28:06,6.46833
2023-09-11 4:38:54,2023,SoBo,41,50.89,15:38:48,15.646667,18:27,18.450000,3.24,13489,13860,63,84,5932,127,6:51:12,6.85333
2023-09-10 3:51:15,2023,SoBo,40,53.4,16:54:50,16.913889,18:59,18.983333,3.16,13495,12838,68,86,5161,118,5:35:10,5.58611
2023-09-09 4:41:37,2023,SoBo,39,47.26,14:41:54,14.698333,18:40,18.666667,3.22,10125,13017,61,88,4965,112,7:48:06,7.80167
2023-09-08 4:41:19,2023,SoBo,38,48.23,15:37:25,15.623611,19:26,19.433333,3.08,12164,11461,70,82,3700,,6:52:35,6.87639
2023-09-07 4:38:43,2023,SoBo,37,50.38,15:31:23,15.523056,18:29,18.483333,3.25,10568,11815,59,86,5260,114,6:58:37,6.97694
2023-09-06 4:34:18,2023,SoBo,36,46.01,15:34:25,15.573611,20:18,20.300000,2.96,9850,8359,63,99,4806,106,6:55:35,6.92639
2023-09-05 4:19:23,2023,SoBo,35,52.36,16:46:17,16.771389,19:13,19.216667,3.12,12400,11855,70,91,5581,110,5:43:43,5.72861
2023-09-04 4:31:48,2023,SoBo,34,50.25,15:07:06,15.118333,18:03,18.050000,3.32,10404,9471,72,91,5380,113,7:22:54,7.38167
2023-09-03 4:24:46,2023,SoBo,33,47.91,15:33:51,15.564167,19:30,19.500000,3.08,10857,10237,64,88,5170,113,6:56:09,6.93583
2023-09-02 4:42:38,2023,SoBo,32,50.82,15:30:15,15.504167,18:19,18.316667,3.27,11700,12401,63,90,5529,116,6:59:45,6.99583
2023-09-01 4:20:44,2023,SoBo,31,49.39,15:47:56,15.798889,19:11,19.183333,3.13,12724,11281,59,88,5529,115,6:42:04,6.70111
2023-08-31 4:38:26,2023,SoBo,30,45.76,15:36:52,15.614444,20:29,20.483333,2.93,11615,11762,57,93,5208,109,6:53:08,6.88556
2023-08-30 4:51:25,2023,SoBo,29,54.85,16:31:29,16.524722,18:04,18.066667,3.33,11142,13417,70,88,5691,113,5:58:31,5.97528
2023-08-29 4:29:26,2023,SoBo,28,56.74,16:16:02,16.267222,17:12,17.200000,3.49,12471,11713,72,88,6166,114,6:13:58,6.23278
2023-08-28 4:59:06,2023,SoBo,27,52.15,15:10:21,15.172500,17:28,17.466667,3.43,12003,10546,72,91,5566,113,7:19:39,7.32750
2023-08-27 4:23:37,2023,SoBo,26,58.11,17:28:37,17.476944,18:03,18.050000,3.32,10113,10421,73,95,6171,110,5:01:23,5.02306
2023-08-26 4:50:35,2023,SoBo,25,46.75,13:38:24,13.640000,17:30,17.500000,3.43,7856,7408,72,90,4985,116,8:51:36,8.86000
2023-08-25 4:50:07,2023,SoBo,24,53.68,15:57:51,15.964167,17:51,17.850000,3.36,7379,7750,73,100,5687,113,6:32:09,6.53583
